No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
837,   0,   4,   0,    10,  206,    378,     501,   7003,     8294,     15627,     35248,   114260,    212758,   394289
836,   1,   1,   0,    25,  371,    697,    1076,  14846,    16541,     32358,     74965,   232469,    456952,   830302
835,   0,   2,   3,    13,  255,    492,     458,   5819,     9515,     19267,     29291,   123938,    253975,   443028
834,   0,   0,   1,    15,  268,    480,     612,   9026,    12078,     22038,     48043,   179785,    322966,   595312
833,   0,   1,   2,     9,  172,    321,     523,   7580,     7835,     14706,     39106,   115126,    217290,   402671
832,   0,   1,   0,     8,  233,    511,     716,   9797,    11432,     22957,     47964,   164286,    336382,   594287
831,   1,   1,   2,     8,  138,    278,     380,   5555,     6499,     13155,     30274,    99561,    202421,   358273
830,   0,   1,   4,    13,  222,    463,     520,   7518,    10519,     22877,     41227,   156567,    336219,   576150
829,   0,   1,   2,     9,  182,    360,     392,   5880,     7820,     16171,     29232,   105093,    218173,   383315
828,   0,   1,   1,    18,  298,    564,    1083,  14730,    15267,     27818,     75014,   218753,    401061,   754608
827,   0,   0,   1,     6,  133,    275,     358,   5967,     6798,     12849,     34218,   102741,    199660,   363006
826,   0,   1,   2,    10,  238,    528,     533,   7667,     9986,     22250,     41079,   147966,    331635,   561895
825,   0,   2,   5,    18,  267,    542,     722,   8350,    11552,     21628,     35032,   137639,    257877,   473634
824,   1,   1,   1,    12,  237,    470,     707,  12003,    11938,     22871,     59403,   182691,    340177,   630512
823,   0,   2,   1,    13,  211,    466,     402,   5603,     8889,     18823,     28754,   118506,    256125,   437795
822,   0,   1,   2,    11,  251,    482,     569,   8101,    11088,     23853,     42309,   163689,    350359,   600715
821,   0,   1,   1,     8,  154,    286,     352,   4615,     6493,     13249,     24798,    95593,    198617,   344167
820,   0,   2,   2,    18,  311,    560,     736,  11106,    13156,     25883,     61728,   198128,    391408,   703038
819,   0,   2,   1,     7,  132,    265,     366,   5091,     6562,     12254,     28378,   100130,    183218,   336406
818,   0,   4,   8,    16,  315,    599,     624,   9227,    12246,     25416,     48563,   178170,    370708,   645896
817,   0,   0,   0,     6,  211,    425,     413,   5932,     8959,     18341,     30194,   124181,    253774,   442436
816,   0,   0,   1,    15,  225,    417,     566,   9501,    10577,     19917,     53465,   165820,    305824,   566328
815,   0,   0,   2,    14,  151,    290,     416,   5915,     7163,     14782,     30013,   105032,    215921,   379699
814,   0,   0,   1,    18,  278,    516,     627,   9563,    13427,     23275,     50792,   185184,    336696,   620377
813,   0,   1,   1,     4,  133,    332,     352,   5404,     7234,     15265,     29351,   108353,    230027,   396457
812,   0,   0,   1,    15,  303,    596,     829,  12092,    13689,     25730,     59566,   196161,    364352,   673334
811,   0,   3,   2,     7,  186,    399,     399,   5708,     7672,     15457,     30220,   106398,    219978,   386429
810,   0,   5,   6,    37,  623,   1115,    1401,  17185,    21500,     38819,     79906,   265338,    480561,   906496
809,   0,   2,   1,     5,  138,    356,     386,   5755,     7196,     14243,     30574,   102485,    207531,   368672
808,   0,   1,   2,    20,  365,    603,     841,  11344,    13863,     26077,     56505,   185778,    351879,   647278
807,   0,   0,   1,     9,  180,    297,     398,   6555,     7069,     14066,     35494,   111078,    212273,   387420
806,   1,   2,   2,    32,  592,   1298,    1577,  21763,    28531,     54084,    108861,   390963,    728513,  1336219
805,   0,   0,   3,    24,  376,    754,     870,  12530,    16000,     32989,     66084,   232525,    470112,   832267
804,   0,   5,   3,    19,  427,    874,    1192,  18118,    20441,     41660,     94079,   306925,    623222,  1106965
803,   0,   0,   0,     9,  182,    369,     378,   6094,     7789,     16534,     31561,   112391,    235081,   410388
802,   0,   2,   3,    11,  275,    605,     711,  11254,    13730,     27224,     61625,   208508,    417363,   741311
801,   0,   1,   2,    28,  233,    429,     631,   6979,     9672,     18232,     30762,   131126,    245395,   443490
800,   0,   0,   1,     6,  241,    455,     551,   8439,    11180,     22837,     45260,   164331,    339820,   593121
799,   0,   0,   1,     4,  142,    297,     315,   5016,     6520,     13582,     27501,    99920,    211792,   365090
798,   0,   1,   2,     9,  186,    413,     529,   7676,    10252,     19289,     41381,   154130,    292062,   525930
797,   0,   3,   3,     7,  142,    318,     410,   6377,     7406,     14856,     34794,   112743,    222889,   399948
796,   0,   1,   4,    12,  249,    540,     582,   8821,    11851,     25193,     44925,   173333,    368929,   634440
795,   0,   0,   0,    11,  195,    300,     370,   5461,     7855,     15262,     28315,   112212,    216691,   386672
794,   0,   1,   4,     6,  269,    647,     570,   8434,    12138,     28254,     43356,   167695,    390159,   651533
793,   0,   1,   0,     3,  147,    297,     350,   4824,     6758,     13669,     25748,   100615,    204602,   357014
792,   1,   1,   5,    20,  352,    782,     788,  10899,    15280,     32403,     55489,   210384,    445399,   771803
791,   0,   0,   2,     9,  185,    348,     378,   5874,     7466,     15107,     31757,   109824,    225749,   396699
790,   0,   1,   1,    11,  209,    438,     521,   7853,    10221,     21510,     41546,   154867,    328723,   565901
789,   0,   2,   0,     4,  119,    262,     333,   4859,     6162,     12141,     26649,    92418,    189844,   332793
788,   0,   1,   1,    21,  227,    430,     682,  10709,    11456,     21582,     57054,   169450,    319908,   591521
787,   0,   1,   1,    10,  170,    286,     454,   6437,     7084,     12631,     34950,    99514,    188985,   350523
786,   0,   2,   1,     9,  278,    517,     645,   9491,    11501,     22630,     52456,   174987,    338519,   611036
785,   1,   0,   4,    12,  199,    402,     523,   7703,    10354,     19363,     39348,   152640,    286642,   517191
784,   0,   1,   5,     9,  345,    684,     846,  11863,    15483,     31997,     64400,   226808,    488334,   840775
783,   0,   0,   0,    10,  139,    342,     396,   5614,     7459,     15332,     30817,   112103,    236072,   408284
782,   0,   1,   1,    22,  255,    606,     623,   8597,    11601,     26025,     46073,   169261,    386211,   649276
781,   0,   2,   5,    11,  243,    603,     514,   6761,     9602,     20273,     34751,   128531,    266822,   468118
780,   0,   1,   3,    18,  346,    756,     864,  11414,    15389,     30932,     54695,   204709,    404987,   724114
779,   0,   0,   1,    15,  182,    400,     385,   5443,     8125,     16575,     27868,   110895,    235739,   405628
778,   0,   4,   2,    29,  409,    862,    1145,  17838,    19762,     38570,    102455,   296391,    574952,  1052419
777,   0,   3,   2,    20,  433,    716,     737,   9416,    15523,     27304,     44468,   192562,    342770,   633954
776,   0,   0,   4,    19,  432,    989,     947,  12923,    18901,     40817,     67093,   271019,    575871,   989015
775,   0,   1,   1,     6,  152,    308,     403,   6233,     7396,     15910,     32375,   109905,    245771,   418461
774,   0,   2,   3,    20,  322,    510,     905,  13711,    14215,     25186,     70594,   203158,    366448,   695074
773,   0,   0,   0,     2,  191,    428,     357,   5443,     7751,     17974,     28046,   110811,    257996,   428999
772,   0,   3,   1,    20,  256,    516,     548,   7923,    11566,     24135,     42936,   166259,    348111,   602274
771,   0,   1,   0,     7,  185,    394,     335,   4945,     7682,     16460,     24552,   105557,    227156,   387274
770,   0,   0,   2,    11,  221,    424,     499,   7875,    10326,     19981,     42436,   157093,    288856,   527724
769,   0,   0,   2,     5,  120,    275,     355,   5152,     6412,     12677,     27325,    93755,    188081,   334159
768,   1,   0,   5,    26,  437,    859,    1132,  15532,    18883,     35375,     75663,   248493,    473933,   870339
767,   0,   1,   1,    10,  132,    300,     320,   4945,     6290,     14063,     25735,    96095,    211235,   359127
766,   0,   1,   1,     9,  218,    372,     516,   8002,     9653,     20350,     42648,   147155,    301488,   530413
765,   0,   0,   1,     9,  145,    305,     329,   4866,     6489,     13593,     26562,    96235,    204589,   353123
764,   0,   2,   1,     4,  214,    425,     504,   8165,     9709,     19225,     47588,   146195,    288971,   521003
763,   0,   1,   1,     9,  176,    326,     320,   4362,     6730,     15115,     23497,    97670,    214718,   362925
762,   0,   1,   1,    11,  201,    485,     525,   7645,    10037,     22982,     41657,   145268,    336024,   564837
761,   0,   1,   1,     5,  148,    284,     425,   5538,     7296,     13901,     30310,   108472,    203533,   369914
760,   0,   0,   1,    16,  243,    421,     574,   8847,    10314,     19813,     47026,   153116,    301284,   541655
759,   0,   1,   2,    12,  173,    354,     340,   5297,     7027,     14479,     28542,   105112,    220731,   382070
758,   0,   0,   5,    18,  391,    720,     852,  12929,    16894,     32024,     69192,   257019,    483785,   873829
757,   0,   1,   4,    10,  183,    454,     407,   5825,     8668,     19108,     30713,   120084,    259604,   445061
756,   0,   1,   1,    14,  270,    446,     736,  10757,    11161,     21464,     55637,   163560,    311915,   575962
755,   0,   0,   1,    22,  322,    679,     711,   9220,    11895,     23917,     42496,   142624,    275065,   506952
754,   0,   3,   2,    16,  251,    508,     750,  10738,    11887,     23652,     54893,   169775,    336366,   608841
753,   0,   1,   2,     9,  140,    281,     312,   4955,     6516,     13396,     27017,    98891,    207721,   359241
752,   0,   0,   3,    10,  227,    480,     543,   8447,    10650,     20594,     45388,   166722,    311371,   564435
751,   0,   1,   0,     8,  206,    415,     606,   8073,     9488,     19164,     42430,   140053,    281272,   501716
750,   0,   2,   3,    19,  405,    872,     847,  12111,    17194,     37067,     63216,   248274,    525248,   905258
749,   0,   0,   3,    10,  187,    428,     447,   6551,     8274,     18291,     34592,   119100,    257073,   444956
748,   0,   1,   2,    11,  279,    614,     695,   9503,    12323,     27558,     49403,   180286,    391886,   672561
747,   0,   2,   4,     5,  139,    321,     367,   5404,     7372,     15722,     28717,   109828,    231507,   399388
746,   0,   2,   0,    12,  253,    462,     658,  10149,    10600,     20700,     56668,   159669,    307036,   566209
745,   0,   0,   4,     9,  167,    346,     399,   5783,     7482,     14848,     30268,   105909,    213311,   378526
744,   1,   1,   1,     8,  230,    526,     488,   7876,    10401,     23206,     42310,   155379,    351995,   592422
743,   0,   1,   2,    14,  277,    494,     639,   8160,    10324,     18958,     39766,   134216,    247460,   460311
742,   0,   1,   0,    28,  394,    772,    1071,  16480,    18549,     35925,     86345,   275744,    529679,   964988
741,   0,   1,   1,    11,  186,    375,     459,   6368,     8204,     16098,     33934,   124203,    247635,   437475
740,   0,   3,  10,    42,  800,   1650,    1849,  25884,    33368,     70498,    133758,   473481,    984604,  1725947
739,   0,   4,   5,    24,  503,   1004,    1139,  17854,    22640,     46832,     95184,   340674,    705767,  1231630
738,   0,   1,   8,    26,  494,   1144,    1242,  18228,    23990,     49337,     99038,   348947,    730265,  1272720
737,   0,   2,   3,    41,  455,    860,    1389,  20791,    20817,     39649,    105012,   291554,    555129,  1035702
736,   0,   2,   3,    19,  436,    901,     955,  15125,    20151,     40907,     78642,   295660,    610026,  1062827
735,   0,   3,   2,    16,  316,    592,     772,  10866,    14098,     28718,     55635,   202441,    413689,   727148
734,   0,   3,   2,    17,  405,    800,     985,  14682,    18642,     38723,     77461,   271571,    570109,   993400
733,   0,   2,   2,    20,  241,    341,     569,   7749,     9032,     16298,     40834,   122928,    221013,   419029
732,   0,   2,   1,    18,  221,    482,     525,   7512,    10507,     21559,     41293,   152849,    316098,   551067
731,   0,   1,   0,     9,  189,    332,     416,   6186,     8291,     15543,     30865,   114638,    217273,   393743
